"date","accident","copd","cvd","death","inf","pneu","resp","city","dow","tmpd","tmax","tmin","dptp","rhum","pm10","pm25","o3","no2","so2","co","date_lag_1","date_lag_2","date_lag_3","date_lag_4","date_lag_5","accident_lag_1","accident_lag_2","accident_lag_3","accident_lag_4","accident_lag_5","copd_lag_1","copd_lag_2","copd_lag_3","copd_lag_4","copd_lag_5","cvd_lag_1","cvd_lag_2","cvd_lag_3","cvd_lag_4","cvd_lag_5","death_lag_1","death_lag_2","death_lag_3","death_lag_4","death_lag_5","inf_lag_1","inf_lag_2","inf_lag_3","inf_lag_4","inf_lag_5","pneu_lag_1","pneu_lag_2","pneu_lag_3","pneu_lag_4","pneu_lag_5","resp_lag_1","resp_lag_2","resp_lag_3","resp_lag_4","resp_lag_5","city_lag_1","city_lag_2","city_lag_3","city_lag_4","city_lag_5","dow_lag_1","dow_lag_2","dow_lag_3","dow_lag_4","dow_lag_5","tmpd_lag_1","tmpd_lag_2","tmpd_lag_3","tmpd_lag_4","tmpd_lag_5","tmax_lag_1","tmax_lag_2","tmax_lag_3","tmax_lag_4","tmax_lag_5","tmin_lag_1","tmin_lag_2","tmin_lag_3","tmin_lag_4","tmin_lag_5","dptp_lag_1","dptp_lag_2","dptp_lag_3","dptp_lag_4","dptp_lag_5","rhum_lag_1","rhum_lag_2","rhum_lag_3","rhum_lag_4","rhum_lag_5","pm10_lag_1","pm10_lag_2","pm10_lag_3","pm10_lag_4","pm10_lag_5","pm25_lag_1","pm25_lag_2","pm25_lag_3","pm25_lag_4","pm25_lag_5","o3_lag_1","o3_lag_2","o3_lag_3","o3_lag_4","o3_lag_5","no2_lag_1","no2_lag_2","no2_lag_3","no2_lag_4","no2_lag_5","so2_lag_1","so2_lag_2","so2_lag_3","so2_lag_4","so2_lag_5","co_lag_1","co_lag_2","co_lag_3","co_lag_4","co_lag_5","death_nextDay","month","year","weekend","week","dow_Sunday","dow_Monday","dow_Tuesday","dow_Wednesday","dow_Thursday","dow_Friday","dow_Saturday","month_Jan","month_Feb","month_Mar","month_Apr","month_May","month_Jun","month_Jul","month_Aug","month_Sep","month_Oct","month_Nov","month_Dec","is_tmax_high","is_treated","pair","death_sum3","id"
"1987-07-20",8,3,67,91,0,4,7,"chic","Monday",81.5,95,68,67.625,75.625,64.09737115,NA,41.021330246,20.092965719,5.7605541674,614.40211791,"1987-07-19","1987-07-18","1987-07-17","1987-07-16","1987-07-15",2,4,3,1,2,2,5,1,8,4,60,52,46,53,53,97,74,67,80,76,0,0,0,0,0,5,3,4,4,2,7,8,5,12,6,"chic","chic","chic","chic","chic","Sunday","Saturday","Friday","Thursday","Wednesday",84.5,79.5,78,65.5,63,93,90,91,79,70,76,69,65,52,56,73.625,68.375,67,58.625,54.375,64,61.375,59,60.375,77.5,65.437700325,44.3876933811,32.415027094,20.118244614,10.406233424,NA,NA,NA,NA,NA,46.994584816,47.74278912,42.562310962,32.3424407414,23.019514545,13.523100185,18.36990388,25.153874705,20.279280954,20.312397146,5.5394707844,4.3812209224,4.3071897724,5.4633073834,4.1959953034,201.34629355,340.25958298,492.37954837,643.52331797,637.26902647,71,"Jul",1987,FALSE,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,1,262,1
"1988-07-15",7,4,51,67,0,0,4,"chic","Friday",86.5,102,71,70.5,45.875,72.070650585,NA,42.011319762,36.3027264615,7.385122104,919.113719295,"1988-07-14","1988-07-13","1988-07-12","1988-07-11","1988-07-10",11,8,7,5,5,2,4,3,6,7,48,57,60,43,60,82,78,75,68,81,0,0,0,0,0,6,5,1,4,2,8,9,4,10,9,"chic","chic","chic","chic","chic","Thursday","Wednesday","Tuesday","Monday","Sunday",87,80,71.5,76.5,75.5,99,93,82,89,86,75,67,61,64,65,57.75,65.875,60.375,57.5,64.625,42.75,49.375,64.25,52,70.875,55.705759133,44.0361917725,7.994812467,36.008620177,NA,NA,NA,NA,NA,NA,46.13479014,32.1360386609,27.6351803057,34.2757324382,40.324769635,27.0630490243,24.221814534,23.170902441,26.50559878,23.216261054,6.0077725564,8.1323906307,2.7164989154,5.3679774694,5.3501324644,863.09789368,600.51605075,707.85564668,654.62273134,481.93970508,85,"Jul",1988,FALSE,28,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,2,227,2
"1988-08-16",8,2,42,67,0,8,10,"chic","Tuesday",86,98,74,73.125,58.625,62.805872417,NA,34.0985556378,35.635671736,8.5990914539,1368.37226021,"1988-08-15","1988-08-14","1988-08-13","1988-08-12","1988-08-11",3,3,8,6,8,3,0,1,4,5,69,62,51,45,54,96,79,71,71,79,0,0,0,0,0,4,5,5,5,1,7,5,6,9,6,"chic","chic","chic","chic","chic","Monday","Sunday","Saturday","Friday","Thursday",84,83,83.5,83.5,82,93,91,90,92,92,75,75,77,75,72,70.5,76.625,73.625,69.625,73.375,69.375,70.5,80.75,61.375,69.125,25.76332803,NA,68.091120962,59.667242617,NA,NA,NA,NA,NA,NA,38.370635545,39.671894762,36.972795774,27.3066096712,29.5253418906,27.1425064204,14.314141509,25.043027489,34.9574326099,31.1594034884,9.9395630134,8.5962576706,6.7439879784,9.3817048781,6.0534070834,832.09523593,446.15709537,620.31815347,986.0618529,1049.26949972,108,"Aug",1988,FALSE,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,3,242,3
"1989-06-25",7,4,48,87,0,7,11,"chic","Sunday",73,89,57,61.5,55.125,49.376029146,NA,35.1800446972,27.2525800569,7.6181694595,998.36957854,"1989-06-24","1989-06-23","1989-06-22","1989-06-21","1989-06-20",6,7,7,5,3,7,5,2,2,4,44,47,47,51,54,72,68,78,80,86,0,0,0,0,0,3,3,4,4,6,10,8,6,6,10,"chic","chic","chic","chic","chic","Saturday","Friday","Thursday","Wednesday","Tuesday",75,79,79,69,68.5,86,87,90,81,77,64,71,68,57,60,59.375,68,64.375,56.375,60.875,69.5,69.625,51.25,56.125,74.5,NA,NA,NA,55.647602571,24.35557695,NA,NA,NA,NA,NA,36.156217292,37.412960397,48.877252006,53.268253878,49.400843735,22.873783775,33.9100497796,33.3493935103,26.408188894,24.821510851,4.4980083116,8.7138580086,8.2386442606,NA,7.8261848766,594.63916848,990.5620167,795.00063662,846.66984932,774.37231973,63,"Jun",1989,TRUE,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,4,227,4
"1989-08-30",2,2,47,77,0,9,11,"chic","Wednesday",70.5,82,59,58.875,61.75,51.197670777,NA,20.721888132,29.671147993,9.8082503557,754.95043869,"1989-08-29","1989-08-28","1989-08-27","1989-08-26","1989-08-25",1,NA,6,5,1,0,5,6,3,1,52,53,51,39,49,80,83,73,69,72,0,0,0,0,0,3,8,6,7,2,3,13,12,10,3,"chic","chic","chic","chic","chic","Tuesday","Monday","Sunday","Saturday","Friday",75,77,74.5,71.5,70,85,83,83,80,77,65,71,66,63,63,60.75,70.75,69.25,66.125,58.25,64.625,85.25,82.625,80.25,68.875,47.1221312087,46.0753686188,47.0169965439,47.7747620661,NA,NA,NA,NA,NA,NA,17.2540245,20.219273787,36.913641451,33.4378357049,31.3922069277,21.785260395,27.6826973528,29.2486520223,35.0310242512,19.745348579,3.8079596554,3.5332166152,4.7490172212,6.4525851182,5.0446341843,552.61713138,885.99469571,1199.2158411,1025.56690332,684.57957709,77,"Aug",1989,FALSE,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,5,240,5
"1989-08-31",3,3,47,77,0,5,8,"chic","Thursday",72.5,83,62,67.625,89.875,32.197838385,NA,20.177234964,29.2465314698,6.4633488845,720.80006197,"1989-08-30","1989-08-29","1989-08-28","1989-08-27","1989-08-26",2,1,NA,6,5,2,0,5,6,3,47,52,53,51,39,77,80,83,73,69,0,0,0,0,0,9,3,8,6,7,11,3,13,12,10,"chic","chic","chic","chic","chic","Wednesday","Tuesday","Monday","Sunday","Saturday",70.5,75,77,74.5,71.5,82,85,83,83,80,59,65,71,66,63,58.875,60.75,70.75,69.25,66.125,61.75,64.625,85.25,82.625,80.25,51.197670777,47.1221312087,46.0753686188,47.0169965439,47.7747620661,NA,NA,NA,NA,NA,20.721888132,17.2540245,20.219273787,36.913641451,33.4378357049,29.671147993,21.785260395,27.6826973528,29.2486520223,35.0310242512,9.8082503557,3.8079596554,3.5332166152,4.7490172212,6.4525851182,754.95043869,552.61713138,885.99469571,1199.2158411,1025.56690332,74,"Aug",1989,FALSE,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,6,234,6
"1991-07-06",2,8,54,86,0,8,16,"chic","Saturday",81,95,67,69.625,58.25,30.663274276,NA,38.298515176,24.869273903,4.7002284684,731.45509597,"1991-07-05","1991-07-04","1991-07-03","1991-07-02","1991-07-01",2,1,2,3,2,8,5,6,2,5,63,38,59,41,61,93,73,89,73,91,0,0,0,0,0,7,6,6,4,5,15,11,12,6,10,"chic","chic","chic","chic","chic","Friday","Thursday","Wednesday","Tuesday","Monday",75.5,73,78.5,82,81,88,82,90,95,94,63,64,67,69,68,63.375,61.25,66.25,61.75,69,59.125,70.375,82.375,51.875,67.625,35.1358451862,NA,54.375877593,32.667476815,61.692529044,NA,NA,NA,NA,NA,29.1442549228,22.209134837,21.422137664,29.52679344,28.6044295592,23.69658373,18.198540637,27.8628013159,29.9737017852,25.0243974587,6.0138768164,6.2072634604,8.354996916,7.8768388559,8.0263384077,611.52647187,347.48217629,622.87637581,758.97951432,768.26070273,67,"Jul",1991,TRUE,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,7,252,7
"1991-07-17",5,1,43,83,0,4,5,"chic","Wednesday",78.5,89,68,66.25,59,82.152891144,NA,48.487430806,32.966254819,9.8847518952,714.65611966,"1991-07-16","1991-07-15","1991-07-14","1991-07-13","1991-07-12",3,0,2,5,3,8,3,4,1,1,49,51,32,41,44,96,76,49,71,72,0,0,0,0,0,4,5,2,4,2,12,8,6,5,3,"chic","chic","chic","chic","chic","Tuesday","Monday","Sunday","Saturday","Friday",76,70.5,69.5,72,79,90,86,78,78,86,62,55,61,66,72,58.75,54.125,54.75,59.875,65.125,49.375,47.875,58.5,70.5,62.25,56.061923077,43.863888889,NA,15.86112663,56.99525641,NA,NA,NA,NA,NA,38.645863674,29.2434828505,22.39945599,29.2083319422,32.3585493483,37.404048593,24.5464188471,10.536749521,14.646250241,19.452285239,10.4694181478,10.0606964214,4.0326082794,4.6468276994,7.9000210057,969.92102705,973.79348603,386.47028249,480.10766036,553.64379106,84,"Jul",1991,FALSE,29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,8,255,8
"1991-07-18",6,6,35,84,0,4,10,"chic","Thursday",83,96,70,63.625,46.125,75.103461539,NA,50.335594768,28.2654378941,7.738648466,630.08773325,"1991-07-17","1991-07-16","1991-07-15","1991-07-14","1991-07-13",5,3,0,2,5,1,8,3,4,1,43,49,51,32,41,83,96,76,49,71,0,0,0,0,0,4,4,5,2,4,5,12,8,6,5,"chic","chic","chic","chic","chic","Wednesday","Tuesday","Monday","Sunday","Saturday",78.5,76,70.5,69.5,72,89,90,86,78,78,68,62,55,61,66,66.25,58.75,54.125,54.75,59.875,59,49.375,47.875,58.5,70.5,82.152891144,56.061923077,43.863888889,NA,15.86112663,NA,NA,NA,NA,NA,48.487430806,38.645863674,29.2434828505,22.39945599,29.2083319422,32.966254819,37.404048593,24.5464188471,10.536749521,14.646250241,9.8847518952,10.4694181478,10.0606964214,4.0326082794,4.6468276994,714.65611966,969.92102705,973.79348603,386.47028249,480.10766036,85,"Jul",1991,FALSE,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,TRUE,9,263,9
"1991-08-02",4,2,44,78,0,4,6,"chic","Friday",83.5,100,67,65.75,56.625,123.851224709,NA,37.761898155,53.373672298,12.1393055516,960.00081486,"1991-08-01","1991-07-31","1991-07-30","1991-07-29","1991-07-28",3,3,2,2,4,3,5,3,1,4,49,42,61,51,40,90,73,82,74,73,0,0,0,0,0,6,4,3,1,3,9,9,6,2,7,"chic","chic","chic","chic","chic","Thursday","Wednesday","Tuesday","Monday","Sunday",78.5,75.5,66.5,70,73.5,93,91,77,78,84,64,60,56,62,63,52.125,62.625,54.625,57,59,35.375,55.5,59.625,70.5,58.75,NA,57.523934392,25.885213244,36.4404323976,NA,NA,NA,NA,NA,NA,32.7957985579,34.047745691,24.8820234205,33.680932204,39.081562506,39.158414127,32.3453889587,21.972316677,24.1286794846,18.663801806,12.5476716488,8.1675392841,5.1257778674,8.6632983015,3.3712513284,1020.35610507,657.83260582,523.16504562,512.6881447,533.39482008,72,"Aug",1991,FALSE,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,10,241,10
